,Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1028,44,41,2017-01-25,32-026,CLE,,SAC,L (-4),1,44:49,8,15,0.5329999999999999,0,3,0.0,8,11,0.727,4,9,13,11,2,1,5,3,24,25.2,-1
1029,45,42,2017-01-27,32-028,CLE,,BRK,W (+8),1,34:14,13,18,0.722,1,3,0.33299999999999996,4,7,0.5710000000000001,0,5,5,11,0,0,5,1,31,26.2,22
1030,46,43,2017-01-29,32-030,CLE,,OKC,W (+16),1,36:50,9,18,0.5,0,2,0.0,7,10,0.7,1,13,14,8,1,0,2,1,25,23.6,11
1031,47,44,2017-01-30,32-031,CLE,@,DAL,L (-7),1,37:17,9,19,0.474,1,6,0.16699999999999998,4,8,0.5,0,9,9,9,2,0,5,0,23,17.7,-8
1032,48,45,2017-02-01,32-033,CLE,,MIN,W (+28),1,34:28,11,14,0.7859999999999999,1,2,0.5,4,7,0.5710000000000001,0,8,8,12,2,1,2,1,27,31.5,16
1033,49,46,2017-02-04,32-036,CLE,@,NYK,W (+7),1,39:35,12,20,0.6,4,8,0.5,4,5,0.8,0,5,5,10,0,0,5,1,32,25.5,11
1034,50,47,2017-02-06,32-038,CLE,@,WAS,W (+5),1,42:04,12,18,0.667,6,8,0.75,2,5,0.4,0,7,7,17,2,2,6,6,32,32.0,0
1035,51,48,2017-02-08,32-040,CLE,@,IND,W (+15),1,38:16,9,16,0.563,1,2,0.5,6,8,0.75,1,5,6,9,1,1,4,2,25,22.0,8
1036,52,49,2017-02-09,32-041,CLE,@,OKC,L (-9),1,40:53,8,19,0.42100000000000004,1,4,0.25,1,3,0.33299999999999996,1,4,5,7,2,2,3,1,18,13.9,-4
1037,53,50,2017-02-11,32-043,CLE,,DEN,W (+16),1,33:09,11,16,0.688,1,1,1.0,4,4,1.0,0,5,5,12,2,0,6,1,27,25.7,26
